id_unique,affect,heat_peak_kw,heat_peak_kw_foisonnement
C1-1,Installation sportive,51.961258326774264,38.970943745080696
C2-0,Habitat collectif,11.625386344676402,9.300309075741122
H2-3,Administration,23.635501226408103,17.726625919806075
E4-4,Habitat collectif,74.72577641177608,59.780621129420865
E2-5,Ecole,57.112309978751625,42.83423248406372
H3-6,Habitat collectif,45.24062886721306,36.19250309377045
H3-8,Industries,42.14276501186403,37.928488510677624
H3-9,Habitat collectif,56.06749844832359,44.853998758658875
H2-10,Habitat collectif,47.20969478152931,37.767755825223446
H2-11,Habitat collectif,55.41159471893526,44.32927577514821
H4-12,Administration,32.38811536019257,24.29108652014443
H2-13,Industries,16.807464894670456,15.12671840520341
H2-14,Administration,113.2256002585146,84.91920019388596
H2-15,Industries,9.392673529768588,8.453406176791729
H2-16,Administration,34.56999894533099,25.927499208998242
H2-17,Administration,30.457501026192393,22.843125769644296
H2-18,Administration,37.46450584565962,28.098379384244716
H2-19,Habitat collectif,44.420552271602986,35.53644181728239
H2-20,Industries,13.982460594060028,12.584214534654025
H2-21,Administration,64.2253946662529,48.16904599968967
H2-22,Industries,22.839886646816975,20.555897982135278
H2-23,Habitat collectif,42.0983836062757,33.67870688502057
H2-24,Non chauffé,0.0,0.0
H3-25,Habitat collectif,40.41444826202468,32.33155860961974
H4-26,Habitat collectif,40.41444826202468,32.33155860961974
H4-27,Habitat collectif,33.42632728340262,26.7410618267221
H4-28,Habitat collectif,56.06749844832359,44.853998758658875
H4-29,Habitat collectif,46.271408616253105,37.017126893002484
H4-30,Administration,51.3803157330023,38.53523679975172
H4-31,Habitat collectif,37.16260625729769,29.730085005838152
H4-32,Habitat collectif,65.1368263043543,52.10946104348344
H1-33,Administration,43.90906382737061,32.93179787052796
B3-34,Habitat collectif,38.24942969209941,30.59954375367953
A1-35,Industries,41.89522940393408,37.70570646354067
G2-36,Habitat collectif,67.19776170050257,53.758209360402056
D3-37,Administration,156.78091994658186,117.58568995993639
B2-38,Habitat collectif,43.70663208562681,34.96530566850145
B4-39,Administration,101.77567059221946,76.33175294416459
B3-42,Administration,31.673244037045595,23.754933027784197
B2-43,Administration,28.416764627295823,21.312573470471868
B2-44,Habitat collectif,21.823551677893985,17.45884134231519
A2-45,Ecole,38.72373563668357,29.04280172751268
A2-46,Ecole,38.68937562280895,29.017031717106715
A2-47,Ecole,38.68937562280895,29.017031717106715
A2-48,Ecole,47.89660534328886,35.92245400746665
F3-49,Administration,37.61752769650307,28.213145772377302
B1-50,Habitat collectif,36.74613438607383,29.396907508859062
F3-51,Administration,29.245158600313662,21.933868950235247
B1-52,Non chauffé,0.0,0.0
B1-53,Commerce,23.76208620994011,19.00966896795209
G2-54,Habitat collectif,67.19776170050257,53.758209360402056
A3-55,Administration,19.25151170571701,14.438633779287759
F3-56,Habitat collectif,54.791575209485316,43.83326016758826
B3-58,Administration,29.228672188075706,21.92150414105678
B2-59,Habitat collectif,18.310073819803648,14.64805905584292
B2-60,Habitat collectif,31.423512751429538,25.13881020114363
B1-61,Industries,26.015594904383263,23.414035413944937
B1-62,Industries,14.91127213315256,13.420144919837304
A1-63,Non chauffé,0.0,0.0
F4-64,Habitat collectif,36.765359531646006,29.412287625316807
F4-65,Habitat collectif,36.765359531646006,29.412287625316807
F4-66,Habitat collectif,60.94300016253978,48.754400130031826
F4-67,Habitat collectif,60.94300016253978,48.754400130031826
B1-68,Habitat collectif,36.74613438607383,29.396907508859062
B1-69,Habitat collectif,36.74613438607383,29.396907508859062
B1-70,Habitat collectif,46.11647126324912,36.893177010599295
A1-71,Commerce,25.26940743618978,20.215525948951825
A4-72,Administration,35.930393916013934,26.94779543701045
A4-73,Administration,27.02949063283011,20.27211797462258
A4-74,Administration,26.91308425122162,20.184813188416214
A3-75,Habitat collectif,41.673787417912365,33.33902993432989
A3-76,Habitat collectif,21.810844630307905,17.448675704246323
A3-77,Administration,121.38461122577249,91.03845841932937
A3-78,Habitat collectif,39.17848933283172,31.342791466265375
A4-80,Administration,21.02577838607614,15.769333789557106
A4-81,Habitat collectif,14.747838382048384,11.798270705638707
B2-82,Habitat collectif,22.209521408976197,17.76761712718096
B3-83,Habitat collectif,33.145334215772806,26.516267372618245
B3-84,Habitat collectif,21.557832803406683,17.246266242725348
B3-85,Ecole,12.683472200160244,9.512604150120183
B3-86,Habitat collectif,60.964832462737135,48.77186597018971
B3-87,Habitat collectif,35.177231709821655,28.141785367857324
B3-88,Administration,23.084459819207733,17.3133448644058
D1-93,Habitat collectif,48.66598440265793,38.93278752212635
B2-90,Administration,50.34509012516148,37.75881759387111
B2-91,Administration,44.03976824517824,33.02982618388368
B3-92,Administration,51.62324962131498,38.71743721598624
B3-93,Non chauffé,0.0,0.0
